"year","months","import_export","crude_oil","lpg","ms","naphtha","atf","sko","hsd","ldo","lobs_lube_oil","fuel_oil","bitumen","petcoke","others","total"
2011,"January","import",15737,419,20,153,0,129,508,0,116,95,7,0,256,17440
2011,"February","import",13784,469,0,133,0,141,40,0,101,21,9,0,281,14979
2011,"March","import",13935,482,215,162,0,111,192,0,105,60,2,0,293,15557
2011,"April","import",13750,495,135,227,0,110,0,0,82,141,5,0,214,15159
2011,"May","import",14264,428,108,122,0,73,16,0,150,183,1,0,241,15586
2011,"June","import",12990,504,36,202,0,0,1,0,133,159,2,0,233,14260
2011,"July","import",12463,453,140,182,0,0,5,0,94,56,1,0,141,13535
2011,"August","import",14850,447,0,274,0,0,2,0,165,137,5,0,344,16224
2011,"September","import",13933,475,0,240,0,0,22,0,131,81,6,0,175,15063
2011,"October","import",17017,512,0,111,0,0,207,0,128,10,3,0,264,18252
2011,"November","import",13719,514,0,108,0,0,62,0,107,171,15,0,240,14936
2011,"December","import",15289,592,0,175,0,0,4,0,123,90,22,0,295,16590
2012,"January","import",14809,655,0,138,0,0,133,0,142,127,7,0,358,16369
2012,"February","import",15627,628,0,173,0,0,109,0,183,63,14,0,334,17131
2012,"March","import",14817,459,0,179,0,0,61,0,144,50,3,0,301,16014
2012,"April","import",14594,526,57,187,0,0,132,0,121,85,4,0,336,16042
2012,"May","import",15045,528,90,190,0,0,63,0,259,52,1,0,570,16798
2012,"June","import",15236,592,0,188,0,0,2,0,171,95,3,0,356,16643
2012,"July","import",16503,508,0,85,0,0,1,0,144,63,8,0,370,17682
2012,"August","import",15495,509,0,214,0,0,2,0,262,88,13,0,375,16958
2012,"September","import",16021,533,0,112,0,0,8,0,101,78,8,0,375,17236
2012,"October","import",18345,448,0,95,0,0,8,0,157,123,5,0,451,19632
2012,"November","import",13366,383,0,120,0,0,5,0,147,113,16,0,322,14472
2012,"December","import",14936,531,0,81,0,0,5,0,146,101,20,0,355,16175
2013,"January","import",16408,520,0,66,0,0,6,0,147,108,25,0,312,17592
2013,"February","import",17181,601,15,66,0,0,17,0,212,60,32,0,467,18651
2013,"March","import",14310,345,115,125,0,0,0,0,140,48,7,0,262,15352
2013,"April","import",16353,400,76,95,0,0,1,0,185,182,7,0,470,17769
2013,"May","import",17573,553,0,100,0,0,3,0,151,147,2,0,441,18970
2013,"June","import",15082,573,0,156,0,0,1,0,103,121,5,0,589,16630
2013,"July","import",15361,643,29,73,0,0,3,0,188,168,11,0,471,16947
2013,"August","import",14614,352,0,108,0,0,29,0,121,40,21,0,414,15699
2013,"September","import",15822,666,0,93,0,0,4,0,230,122,22,0,272,17231
2013,"October","import",15503,713,0,66,0,0,2,0,269,66,20,0,519,17158
2013,"November","import",16515,651,0,56,0,0,7,0,186,96,63,0,436,18010
2013,"December","import",14516,551,0,17,0,0,5,0,158,175,32,0,476,15930
2014,"January","import",16902,657,0,46,10,0,0,0,273,159,36,0,422,18505
2014,"February","import",14905,633,0,66,5,30,5,0,365,124,39,0,491,16663
2014,"March","import",16211,564,61,69,0,0,2,0,111,126,31,0,662,17837
2014,"April","import",14222,711,143,72,5,0,51,0,150,20,16,0,628,16018
2014,"May","import",15990,624,50,99,14,0,1,0,237,106,26,0,646,17793
2014,"June","import",15989,758,20,62,21,0,6,0,136,76,21,0,866,17955
2014,"July","import",16193,721,38,0,14,0,10,0,171,12,30,0,503,17692
2014,"August","import",15005,651,16,23,5,0,8,0,144,61,56,0,659,16628
2014,"September","import",16820,816,0,47,14,0,10,0,129,30,64,0,784,18714
2014,"October","import",17715,711,0,86,19,0,3,0,100,87,52,0,635,19408
2014,"November","import",12993,623,0,137,11,0,10,0,151,53,63,0,772,14813
2014,"December","import",16489,843,44,327,20,0,18,0,180,50,84,0,654,18709
2015,"January","import",15535,685,120,152,19,35,1,0,205,36,91,0,672,17551
2015,"February","import",17454,809,154,364,6,0,0,0,162,49,95,0,959,20052
2015,"March","import",15619,653,170,347,55,6,10,0,195,273,84,0,674,18086
2015,"April","import",17732,696,133,354,25,0,2,0,182,48,50,0,916,20138
